phase,control,rounds,job_id,bit_index,trials,ones,one_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,feistel_null,16,bit_a019_d019_off+000,107,160000,80250,0.5015625,0.5,0.21221408780256762,0.49910942225937466,0.5040155211160843,0.972968640268904,0.5164145102419896
calibration,feistel_null,16,bit_a019_d019_off+000,108,160000,79978,0.4998625,0.5,0.9143923692263032,0.49740944119325003,0.5023155637897095,0.972968640268904,0.976436790275029
calibration,feistel_null,16,bit_a019_d019_off+000,109,160000,79857,0.49910625,0.5,0.47615532454772563,0.4966532087176877,0.5015593236715497,0.972968640268904,0.7854108446148051
calibration,feistel_null,16,bit_a019_d019_off+000,110,160000,80123,0.50076875,0.5,0.540207129845933,0.498315677575184,0.503221794565542,0.972968640268904,0.8249733062670044
calibration,feistel_null,16,bit_a019_d019_off+000,111,160000,79915,0.49946875,0.5,0.6726602326338715,0.4970156996181682,0.5019218196341757,0.972968640268904,0.8934677597073908
calibration,feistel_null,16,bit_a019_d019_off+000,112,160000,79897,0.49935625,0.5,0.6083012580181608,0.49690320230434876,0.501809321024962,0.972968640268904,0.862265349128733
calibration,feistel_null,16,bit_a019_d019_off+000,113,160000,80156,0.500975,0.5,0.4368639289097035,0.4985219256001844,0.5034280390661021,0.972968640268904,0.7553162931171821
calibration,feistel_null,16,bit_a019_d019_off+000,114,160000,80086,0.5005375,0.5,0.6690153176368795,0.4980844302853046,0.5029905502358534,0.972968640268904,0.8920978625664092
calibration,feistel_null,16,bit_a019_d019_off+000,115,160000,80115,0.50071875,0.5,0.5669834216089206,0.49826567811675115,0.5031717958359601,0.972968640268904,0.8411924423754487
calibration,feistel_null,16,bit_a019_d019_off+000,116,160000,79880,0.49925,0.5,0.5501737405514305,0.4967969549551803,0.5017030722245993,0.972968640268904,0.8309408706853464
calibration,feistel_null,16,bit_a019_d019_off+000,117,160000,79898,0.4993625,0.5,0.6118041740545228,0.4969094521518627,0.5018155709509499,0.972968640268904,0.8648363807728208
calibration,feistel_null,16,bit_a019_d019_off+000,118,160000,79853,0.49908125,0.5,0.46386355059829093,0.4966282093927082,0.5015343239025218,0.972968640268904,0.7752088061353224
calibration,feistel_null,16,bit_a019_d019_off+000,119,160000,79797,0.49873125,0.5,0.3112990403558374,0.4962782194861006,0.5011843264930266,0.972968640268904,0.641302744080695
calibration,feistel_null,16,bit_a019_d019_off+000,120,160000,80013,0.50008125,0.5,0.9501646877626015,0.49762818716924123,0.5025343098862826,0.972968640268904,0.9873176568822595
calibration,feistel_null,16,bit_a019_d019_off+000,121,160000,79884,0.499275,0.5,0.5636018740122039,0.4968219543215024,0.5017280719522845,0.972968640268904,0.8396629277233222
calibration,feistel_null,16,bit_a019_d019_off+000,122,160000,79920,0.4995,0.5,0.6909989150661016,0.49704694889401796,0.501953069225835,0.972968640268904,0.9019156471291061
