phase,control,rounds,job_id,byte_index,trials,nonzero,nonzero_probability,ideal_probability,exact_p,ci_lower,ci_upper,within_job_bh_q,global_bh_q
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,13,160000,159339,0.99586875,0.99609375,0.14903814229324908,0.9955421741423356,0.99617715066139,0.4099026768153534,0.37018529521738447
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,14,160000,159374,0.9960875,0.99609375,0.968026463428358,0.9957693150958465,0.9963874952618075,0.968026463428358,0.9886227711608762
calibration,feistel_null,16,bytepos_ab15_db15_a07_d10_off+00,15,160000,159398,0.9962375,0.99609375,0.3671614830414377,0.995925206758233,0.9965315933707364,0.6527315254070003,0.6533364665797594
calibration,feistel_null,16,value_b00_a07_d10,0,160000,159371,0.99606875,0.99609375,0.8726175464058323,0.9957498367239649,0.9963694748930294,0.9307920494995545,0.9530294022179738
calibration,feistel_null,16,value_b00_a07_d10,1,160000,159406,0.9962875,0.99609375,0.2215070770094379,0.9959771969386064,0.9965795997170194,0.578996276435611,0.47839548690452277
calibration,feistel_null,16,value_b00_a07_d10,2,160000,159388,0.996175,0.99609375,0.6163958739378903,0.9958602377309614,0.9964715666939887,0.7869027518340167,0.8276084461263982
calibration,feistel_null,16,value_b00_a07_d10,3,160000,159342,0.9958875,0.99609375,0.1859284786553716,0.9955616344224101,0.9961951891634117,0.578996276435611,0.4311385012298472
calibration,feistel_null,16,value_b00_a07_d10,4,160000,159373,0.99608125,0.99609375,0.9361042439484883,0.9957628221095461,0.9963814886683475,0.9361042439484883,0.9810699499896821
calibration,feistel_null,16,value_b00_a07_d10,5,160000,159416,0.99635,0.99609375,0.10448724867408299,0.9960422038029462,0.9966395884634905,0.5522910199954381,0.2853705795935126
calibration,feistel_null,16,value_b00_a07_d10,6,160000,159365,0.99603125,0.99609375,0.6885399078547646,0.9957108852301221,0.9963334288932781,0.7869027518340167,0.8617970163501617
calibration,feistel_null,16,value_b00_a07_d10,7,160000,159338,0.9958625,0.99609375,0.13807275499885951,0.9955356877448389,0.9961711374640457,0.5522910199954381,0.3515911002623478
calibration,feistel_null,16,value_b00_a07_d10,8,160000,159363,0.99601875,0.99609375,0.6305127956476326,0.995697902940957,0.9963214120143271,0.7869027518340167,0.8354620894709832
calibration,feistel_null,16,value_b00_a07_d10,9,160000,159351,0.99594375,0.99609375,0.33604567866258933,0.9956200251477654,0.9962492947621453,0.6720913573251787,0.6215873824972751
calibration,feistel_null,16,value_b00_a07_d10,10,160000,159404,0.996275,0.99609375,0.2533108709405798,0.9959641981303896,0.9965675993966865,0.578996276435611,0.5224026554306264
calibration,feistel_null,16,value_b00_a07_d10,11,160000,159389,0.99618125,0.99609375,0.5884764046808989,0.9958667337117855,0.9964775702857988,0.7869027518340167,0.8169737505331351
calibration,feistel_null,16,value_b00_a07_d10,12,160000,159329,0.99580625,0.99609375,0.0681616076981151,0.9954773182451876,0.9961170105922245,0.5452928615849209,0.19919373939175192
